Time(h),Operator(uM),STDERR_Op,Venus(uM),STDERR_Venus,Op+CueR(uM),STDERR_Op+CueR,Venus+CueR,STDERR_Venus+CueR,Op+CueR+100uMCu,STDERR_Op+CueR+Cu,Venus+CueR+100uMCu,STDERR_Venus+CueR+Cu,Venus+GntR+100uM_Cu,STDERR_Venus+GntR+Cu,Venus+ Cu,STDERR_Venus,OCueR+Cu,STDERR_OCueR_Cu
11.5,0.215843949,0.080776089,1.802468153,0.085998183,0.020621019,0.066932059,0.422664544,0.146962462,0.254352442,0.042117793,0.223208599,0.023049363,0.243710191,0.051194268,1.676295382,0.011741627,0.265669856,0.016307815
12,0.280493631,0.07509895,1.833704883,0.087834895,0.039410828,0.085429936,0.385642251,0.121516347,0.243710191,0.042413395,0.216242038,0.019267516,0.213256369,0.041042994,1.705345541,0.012889952,0.287519936,0.017902711
12.5,0.296576433,0.060515997,1.889092357,0.089678997,0.030812102,0.085138004,0.409978769,0.12610279,0.249469214,0.037315669,0.232842357,0.010549363,0.227229299,0.039888535,1.756855892,0.009789474,0.275239234,0.013596491
13,0.27868896,0.061527577,1.937818471,0.079959828,0.029246285,0.078874735,0.39410828,0.106594762,0.250636943,0.033931056,0.244984076,0.00294586,0.225119427,0.031090764,1.802171178,0.010320574,0.281638756,0.014334131
13.5,0.294665605,0.063228509,1.934686837,0.085076382,0.03895966,0.084023355,0.379485138,0.114973063,0.25257431,0.034347025,0.216759554,0.003144904,0.20589172,0.031687898,1.799258758,0.00607177,0.294716906,0.008433014
14,0.285881104,0.062196637,1.965100849,0.079459999,0.033651805,0.084394904,0.364649682,0.107382944,0.260987261,0.036594508,0.208957006,0.002507962,0.199800955,0.040246815,1.82754379,0.008181818,0.281778309,0.011363636
14.5,0.29156051,0.064140505,2.001910828,0.077209967,0.04339172,0.089516985,0.361305732,0.100072534,0.256183652,0.033893183,0.22205414,0.001353503,0.216003185,0.045541401,1.86177707,0.008511962,0.278169856,0.011822169
15,0.293842887,0.065372858,2.016348195,0.071167899,0.028184713,0.072691083,0.367595541,0.102316827,0.232935244,0.033763104,0.222691083,0.014092357,0.211066879,0.043710191,1.875203821,0.007392344,0.287699362,0.010267145
15.5,0.310483015,0.059772323,2.057829087,0.076688141,0.015711253,0.062791932,0.392701699,0.106008053,0.253556263,0.035297569,0.242117834,0.018869427,0.235031847,0.042834395,1.913781051,0.00691866,0.295095694,0.00960925
16,0.297744161,0.062866727,2.060960722,0.081460113,0.019612527,0.059607219,0.378450106,0.104863895,0.245541401,0.036644622,0.228463376,0.018511146,0.22464172,0.05330414,1.916693471,0.006215311,0.285426635,0.008632376
